Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1994","1994","1000 ha","4833752.068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1995","1995","1000 ha","4833862.96","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1996","1996","1000 ha","4841499.732","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1997","1997","1000 ha","4861725.424","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1998","1998","1000 ha","4875189.116","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1999","1999","1000 ha","4878210.583","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2000","2000","1000 ha","4879532.24","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2001","2001","1000 ha","4881945.2452","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2002","2002","1000 ha","4872924.5609","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2003","2003","1000 ha","4857648.6376","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2004","2004","1000 ha","4817356.4608","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2005","2005","1000 ha","4823689.4972","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2006","2006","1000 ha","4820700.4137","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2007","2007","1000 ha","4812814.6001","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2008","2008","1000 ha","4801043.6566","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2009","2009","1000 ha","4796424.1692","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2010","2010","1000 ha","4795848.455","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2011","2011","1000 ha","4814971.142","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2012","2012","1000 ha","4772566.2806","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2013","2013","1000 ha","4763129.8443","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2014","2014","1000 ha","4761795.4362","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2015","2015","1000 ha","4736496.9596","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2016","2016","1000 ha","4732764.163","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2017","2017","1000 ha","4767232.4995","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4750459.2597","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2019","2019","1000 ha","4752110.7106","A","Aggregate, may include official, semi-official, estimated or calculated data"
